"Base Size","Data Reader",Flags,"Label Handler","M Flag Use",Name,"Params Example","State Handler",Value,"X Flag Use"
1,READ_8,StackRelative,nullptr,false,STA,"d,s",nullptr,0x83,false
1,READ_8,DirectPage,nullptr,false,STY,d,nullptr,0x84,false
1,READ_8,DirectPage,nullptr,false,STA,d,nullptr,0x85,false
1,READ_8,DirectPage,nullptr,false,STX,d,nullptr,0x86,false
1,READ_8,"DirectPage | IndirectLong",nullptr,false,STA,[d],nullptr,0x87,false
0,NONE,Implied,nullptr,false,DEY,i,nullptr,0x88,false
1,READ_8_16,Immediate,nullptr,true,BIT,#,nullptr,0x89,false
0,NONE,Implied,nullptr,false,TXA,i,nullptr,0x8A,false
0,NONE,Implied,nullptr,false,PHB,s,nullptr,0x8B,false
2,READ_16,Absolute,nullptr,false,STY,a,nullptr,0x8C,false
2,READ_16,Absolute,nullptr,false,STA,a,nullptr,0x8D,false
2,READ_16,Absolute,nullptr,false,STX,a,nullptr,0x8E,false
3,READ_24,AbsoluteLong,nullptr,false,STA,al,nullptr,0x8F,false
1,READ_8,PCRelative,BRA,false,BCC,r,nullptr,0x90,false
1,READ_8,"DirectPage | Indirect | IndexedY",nullptr,false,STA,"(d),y",nullptr,0x91,false
1,READ_8,"DirectPage | Indirect",nullptr,false,STA,(d),nullptr,0x92,false
1,READ_8,"StackRelative | Indirect | IndexedY",nullptr,false,STA,"(d,s),y",nullptr,0x93,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,STY,"d,x",nullptr,0x94,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,STA,"d,x",nullptr,0x95,false
1,READ_8,"DirectPage | IndexedY",nullptr,false,STX,"d,y",nullptr,0x96,false
1,READ_8,"DirectPage | IndirectLong | IndexedY",nullptr,false,STA,"[d],y",nullptr,0x97,false
0,NONE,Implied,nullptr,false,TYA,i,nullptr,0x98,false
2,READ_16,"Absolute | IndexedY",nullptr,false,STA,"a,y",nullptr,0x99,false
0,NONE,Implied,nullptr,false,TXS,i,nullptr,0x9A,false
0,NONE,Implied,nullptr,false,TXY,i,nullptr,0x9B,false
2,READ_16,Absolute,nullptr,false,STZ,a,nullptr,0x9C,false
2,READ_16,"Absolute | IndexedX",nullptr,false,STA,"a,x",nullptr,0x9D,false
2,READ_16,"Absolute | IndexedX",nullptr,false,STZ,"a,x",nullptr,0x9E,false
3,READ_24,"AbsoluteLong | IndexedX",nullptr,false,STA,"al,x",nullptr,0x9F,false
